codmun,municipio,codRegiaoSaude,nomeRegiaoSaude,populacaoTCU2019,casosAcumulado,obitosAcumulado,porcentagem_casos_hab,porcentagem_obitos_casos,CIR,CodRegiao,Sede,Região de Saúde,Mesorregião Geográfica,Nome_Mesorregião,Microrregião Geográfica,Nome_Microrregião,Código Município,Código Município Completo,Municipio,CodMunIBGE,Código,Área Territorial - km²,População estimada - pessoas,Densidade demográfica - hab/km²,Escolarização 6 a 14 anos,IDHM - Índice de desenvolvimento humano municipal,Mortalidade infantil - óbitos por mil nascidos vivos,Receitas realizadas - R$ (×1000),Despesas empenhadas - R$ (×1000) [2017],PIB per capita - R$,v0002_codigo_do_municipio,GeoSES,educação,mobilidade,pobreza,privacao_material,riqueza,renda,segregacao
240110,Areia Branca,24002,2ª REGIAO DE SAUDE - MOSSORO,27774,789,50,0.028407863469431843,0.06337135614702155,2,24002,Mossoró,Oeste,1,Oeste Potiguar,1,Mossoró,1107.0,2401107,Areia Branca,240110,2401107,342.749,27774,70.79,99.3,0.682,16.09,81109.81831,70846.73362,20498.86,2401107,-0.4405258516495051,61.292469169267896,0,43.580133411833295,12.833879863677748,0.6335769677718606,1783.0081967512112,0.06261028720851769
240120,Arês,24001,1ª REGIAO DE SAUDE - SAO JOSE DE MIPIBU,14306,215,9,0.015028659303788619,0.04186046511627907,1,24001,São José de Mipibu ,Litoral Sul/Agreste,4,Leste Potiguar,19,Litoral Sul,1206.0,2401206,Arês,240120,2401206,115.407,14306,111.89,97.8,0.606,21.62,37742.71317,36142.88627,25320.79,2401206,-0.6473021872320033,72.11781275612992,0,64.15070652284133,11.02470398814468,0.2645731194028791,1181.1523074627048,0.0636885507960514
240130,Campo Grande,24002,2ª REGIAO DE SAUDE - MOSSORO,9655,66,2,0.006835836354220611,0.030303030303030307,2,24002,Mossoró,Oeste,1,Oeste Potiguar,3,Médio Oeste,,2401305,Augusto Severo,240130,2401305,896.954,9655,10.36,98.0,0.621,19.42,20259.61797,19736.88353,8549.46,2401305,-0.5744362356560093,75.19899721586309,0,68.94999270494759,7.353135723744646,0.4474479627630803,1754.8295040263413,0.09057726639777997
240140,Baía Formosa,24001,1ª REGIAO DE SAUDE - SAO JOSE DE MIPIBU,9271,87,5,0.009384100959982742,0.057471264367816084,1,24001,São José de Mipibu ,Litoral Sul/Agreste,4,Leste Potiguar,19,Litoral Sul,1404.0,2401404,Baía Formosa,240140,2401404,247.484,9271,34.9,98.1,0.609,15.75,23656.20599,22372.78323,14474.61,2401404,-0.5624200342961447,71.76788543600217,0,60.81166719349844,17.638927354935728,0.9913618006014496,1318.1357291559875,0.07526604306091578
240145,Baraúna,24002,2ª REGIAO DE SAUDE - MOSSORO,28374,494,13,0.01741030520899415,0.02631578947368421,2,24002,Mossoró,Oeste,1,Oeste Potiguar,3,Médio Oeste,1305.0,2401453,Baraúna,240145,2401453,825.681,28374,29.29,96.9,0.574,22.67,64438.06289,56340.55764,18048.76,2401453,-0.6520910449888221,81.06685998706158,0,65.06599878610663,6.366751264591155,0.3591908272723732,1018.5652914108839,0.05631597430788737
240150,Barcelona,24005,5ª REGIAO DE SAUDE - SANTA CRUZ,3998,33,2,0.008254127063531767,0.060606060606060615,5,24005,Santa Cruz,Trairi/Potengi,3,Agreste Potiguar,14,Borborema Potiguar,1453.0,2401503,Barcelona,240150,2401503,152.626,3998,25.88,98.6,0.566,25.0,14562.5584,13054.16776,8680.27,2401503,-0.6381739934938098,78.98191371189245,0,65.73341667596766,7.713226545706058,0.4780933854408378,940.0159343848584,0.08785017842342313
240160,Bento Fernandes,24003,3ª REGIAO DE SAUDE - JOAO CAMARA,5497,27,2,0.004911770056394397,0.07407407407407407,3,24003,João Câmara,Mato Grande/Salineira,2,Central Potiguar,8,Macau,1503.0,2401602,Bento Fernandes,240160,2401602,301.069,5497,16.98,98.5,0.582,15.15,15931.08603,15655.07707,8284.72,2401602,-0.6625095586598685,74.74597764145796,0,68.59820199406518,10.157335199464448,0.0,1005.4566214655985,0.06634338921572791
240165,Bodó,24004,4ª REGIAO DE SAUDE - CAICO,2223,9,0,0.004048582995951417,0.0,4,24004,Caicó,Seridó,3,Agreste Potiguar,15,Agreste Potiguar,1602.0,2401651,Bodó,240165,2401651,253.519,2223,9.57,98.3,0.629,31.25,20227.48122,19458.52173,96049.41,2401651,-0.5220475445615536,66.54584138862121,0,66.07010185618722,13.150774773532724,0.6140415913176245,1081.376791665927,0.08389385198399603
240170,Bom Jesus,24005,5ª REGIAO DE SAUDE - SANTA CRUZ,10210,116,4,0.011361410381978451,0.03448275862068965,5,24005,Santa Cruz,Trairi/Potengi,3,Agreste Potiguar,15,Agreste Potiguar,1701.0,2401701,Bom Jesus,240170,2401701,122.035,10210,77.35,99.2,0.584,24.19,22864.98478,19975.34517,7867.16,2401701,-0.6942214191773555,79.59112991984931,0,66.26747803842339,12.025321786141234,0.0,1146.51210354773,0.055365793457196937
240180,Brejinho,24001,1ª REGIAO DE SAUDE - SAO JOSE DE MIPIBU,12699,152,3,0.011969446413103392,0.01973684210526316,1,24001,São José de Mipibu ,Litoral Sul/Agreste,4,Leste Potiguar,19,Litoral Sul,1800.0,2401800,Brejinho,240180,2401800,61.559,12699,188.06,95.3,0.592,18.29,26744.62428,26778.07074,11896.03,2401800,-0.6377271694441677,76.78157102542403,0,63.75864320005557,9.005196258998481,0.5455399131584073,1094.3964201557033,0.07132165227610797
240185,Caiçara do Norte,24003,3ª REGIAO DE SAUDE - JOAO CAMARA,6549,87,3,0.013284470911589557,0.03448275862068965,3,24003,João Câmara,Mato Grande/Salineira,2,Central Potiguar,8,Macau,1859.0,2401859,Caiçara do Norte,240185,2401859,225.633,6549,31.74,97.3,0.574,12.35,14708.5317,12637.13207,10478.59,2401859,-0.7491686364937872,77.51729521447011,0,66.61092715513651,5.0090725642669565,0.32398813125547754,1119.4900145633162,0.03716781787682244
240190,Caiçara do Rio do Vento,24003,3ª REGIAO DE SAUDE - JOAO CAMARA,3684,61,1,0.01655808903365907,0.016393442622950817,3,24003,João Câmara,Mato Grande/Salineira,2,Central Potiguar,9,Angicos,1909.0,2401909,Caiçara do Rio do Vento,240190,2401909,261.194,3684,12.66,96.3,0.587,38.46,14468.13256,12323.07288,9088.32,2401909,-0.6807840984111497,74.45167580546304,0,69.10895803546696,14.975166072498224,0.0,944.4314925563124,0.03164587857497203
240200,Caicó,24004,4ª REGIAO DE SAUDE - CAICO,67952,2271,27,0.033420649870496824,0.011889035667107,4,24004,Caicó,Seridó,3,Agreste Potiguar,15,Agreste Potiguar,,2402006,Caicó,240200,2402006,1228.584,67952,51.04,97.3,0.71,10.2,119336.02408,123033.41727,16784.75,2402006,-0.21050691528020093,60.23612766931751,0,35.41200296740843,17.560035732732278,2.2101063963998597,2270.215637434966,0.1200797335003827
240210,Campo Redondo,24005,5ª REGIAO DE SAUDE - SANTA CRUZ,11217,231,3,0.02059374164215031,0.012987012987012988,5,24005,Santa Cruz,Trairi/Potengi,4,Leste Potiguar,19,Litoral Sul,2204.0,2402105,Campo Redondo,240210,2402105,213.727,11217,48.03,96.1,0.626,22.22,30370.00325,27146.4248,6896.44,2402105,-0.6409383424803585,69.57658584171074,0,71.50286263456847,6.108774237450651,0.17762425884160216,963.2688201022763,0.08271143718993201
240220,Canguaretama,24001,1ª REGIAO DE SAUDE - SAO JOSE DE MIPIBU,34276,298,17,0.008694130003500992,0.05704697986577181,1,24001,São José de Mipibu ,Litoral Sul/Agreste,1,Oeste Potiguar,2,Chapada do Apodi,2303.0,2402204,Canguaretama,240220,2402204,245.485,34276,125.98,97.6,0.579,12.99,65360.46185,62919.85789,13969.86,2402204,-0.6687781248261973,76.02444687831769,0,67.33402833229142,9.530532628330576,0.4509205602177886,1046.718026959588,0.06578364999752218
240230,Caraúbas,24002,2ª REGIAO DE SAUDE - MOSSORO,20493,358,5,0.017469379788220368,0.013966480446927372,2,24002,Mossoró,Oeste,2,Central Potiguar,12,Seridó Oriental,2402.0,2402303,Caraúbas,240230,2402303,1095.803,20493,17.88,98.7,0.638,4.1,42320.08649,38889.63622,14679.06,2402303,-0.4998858174264428,69.24322603987841,0,59.02982562937497,10.473722946758858,0.8926596528078488,1233.5375150773018,0.09714385401606762
240240,Carnaúba dos Dantas,24004,4ª REGIAO DE SAUDE - CAICO,8180,39,3,0.004767726161369193,0.07692307692307693,4,24004,Caicó,Seridó,1,Oeste Potiguar,4,Vale do Açu,2501.0,2402402,Carnaúba dos Dantas,240240,2402402,246.308,8180,30.24,97.8,0.659,20.83,18251.41969,16965.97096,9864.36,2402402,-0.4051376958263087,67.60263229738753,0,42.815424778111094,6.242025345525015,0.3096953479100151,1412.4967489331086,0.13869600601357135
240250,Carnaubais,24008,8ª REGIAO DE SAUDE - ACU,10759,111,5,0.010316943953899059,0.045045045045045036,8,24008,Açu,Vale do Açu,4,Leste Potiguar,17,Macaíba,2600.0,2402501,Carnaubais,240250,2402501,517.737,10759,17.99,97.5,0.589,8.77,34351.69723,33459.4318,11185.37,2402501,-0.6086669863427454,73.66506534764115,0,67.961150034458,9.834092552779786,0.4745399905235725,1153.9489870905775,0.056007980026917537
240260,Ceará-Mirim,24003,3ª REGIAO DE SAUDE - JOAO CAMARA,73497,757,40,0.010299740125447295,0.05284015852047557,3,24003,João Câmara,Mato Grande/Salineira,2,Central Potiguar,10,Serra de Santana,2709.0,2402600,Ceará-Mirim,240260,2402600,724.838,73497,94.07,95.5,0.616,13.26,145085.79192,130286.85992,10949.67,2402600,-0.5832469939866869,71.99820313380485,0,60.80988609251932,16.88386326557613,1.0291368818539492,1303.355729300502,0.032681643332665544
240270,Cerro Corá,24004,4ª REGIAO DE SAUDE - CAICO,11179,47,2,0.004204311655783165,0.0425531914893617,4,24004,Caicó,Seridó,3,Agreste Potiguar,14,Borborema Potiguar,2808.0,2402709,Cerro Corá,240270,2402709,393.573,11179,27.74,98.1,0.607,16.13,29188.43253,28278.88122,12731.58,2402709,-0.5695513822167486,74.09850324116135,0,63.61521731563028,9.853675168506044,0.3643385833678856,1045.4870776735097,0.0940845418353362
240280,Coronel Ezequiel,24005,5ª REGIAO DE SAUDE - SANTA CRUZ,5506,42,0,0.007628042135851798,0.0,5,24005,Santa Cruz,Trairi/Potengi,1,Oeste Potiguar,5,Serra de São Miguel,2907.0,2402808,Coronel Ezequiel,240280,2402808,185.748,5506,29.1,99.0,0.587,14.29,15328.40158,13695.11514,7653.21,2402808,-0.6324082072657198,77.72549717975569,0,69.2064874984558,4.319562938110629,0.4142990677486278,849.5679777841809,0.07066073046219222
240290,Coronel João Pessoa,24006,6ª REGIAO DE SAUDE - PAU DOS FERROS,4912,15,1,0.0030537459283387627,0.06666666666666668,6,24006,Pau dos Ferros,Alto Oeste,2,Central Potiguar,12,Seridó Oriental,3004.0,2402907,Coronel João Pessoa,240290,2402907,117.139,4912,40.74,96.0,0.578,32.79,17782.34124,16392.43101,8062.26,2402907,-0.631226675569688,79.32796705060153,0,69.55602687911227,4.684671743208568,0.17094871398971098,937.8343313761764,0.12227572849024605
240300,Cruzeta,24004,4ª REGIAO DE SAUDE - CAICO,7998,57,2,0.007126781695423856,0.03508771929824561,4,24004,Caicó,Seridó,2,Central Potiguar,12,Seridó Oriental,3103.0,2403004,Cruzeta,240300,2403004,295.83,7998,26.93,99.3,0.654,10.64,20643.19757,18859.94816,11899.35,2403004,-0.4766103321111646,66.92036761286165,0,52.96744691956502,9.13008177443793,0.8921571304520857,1179.14079622153,0.11784480350519112
240310,Currais Novos,24004,4ª REGIAO DE SAUDE - CAICO,44786,675,15,0.015071674183896754,0.022222222222222227,4,24004,Caicó,Seridó,1,Oeste Potiguar,5,Serra de São Miguel,3202.0,2403103,Currais Novos,240310,2403103,864.349,44786,49.35,97.8,0.691,7.91,80448.96939,74094.08218,15960.05,2403103,-0.3430407356126968,61.28239185998518,0,47.62448990395307,15.350094132689321,1.670543799274954,1740.5340212580454,0.11171061535018724
240320,Doutor Severiano,24006,6ª REGIAO DE SAUDE - PAU DOS FERROS,7076,72,1,0.010175240248728096,0.013888888888888888,6,24006,Pau dos Ferros,Alto Oeste,1,Oeste Potiguar,5,Serra de São Miguel,3301.0,2403202,Doutor Severiano,240320,2403202,113.737,7076,59.96,97.6,0.621,20.83,21195.77213,18437.92035,7489.27,2403202,-0.5773666643199016,71.2850314336277,0,62.36576008147529,3.0048205169379014,0.4546986649501541,1087.2791726709281,0.09650215389128823
240325,Parnamirim,24007,7ª REGIAO DE SAUDE - METROPOLITANA,261469,5707,146,0.021826679262168747,0.025582617837743123,7,24007,Natal,Metropolitana,4,Leste Potiguar,18,Natal,3251.0,2403251,Parnamirim,240325,2403251,124.006,261469,1639.7,97.9,0.766,8.47,444026.48992,385729.94785,19720.13,2403251,0.012839099276995558,47.83349562105588,0,30.170417090884534,38.626483489915046,2.698329143086473,2937.862762213893,0.11439855497805773
240330,Encanto,24006,6ª REGIAO DE SAUDE - PAU DOS FERROS,5638,48,4,0.008513657325292657,0.08333333333333333,6,24006,Pau dos Ferros,Alto Oeste,2,Central Potiguar,12,Seridó Oriental,3400.0,2403301,Encanto,240330,2403301,125.749,5638,41.6,97.5,0.629,12.35,16550.97502,15671.6726,7434.96,2403301,-0.5143488129236493,73.19980292941891,0,56.73927960804733,4.2327567955619685,0.30768035974799796,1182.5185157067729,0.13816360963959795
240340,Equador,24004,4ª REGIAO DE SAUDE - CAICO,6045,33,0,0.005459057071960298,0.0,4,24004,Caicó,Seridó,4,Leste Potiguar,19,Litoral Sul,3509.0,2403400,Equador,240340,2403400,264.985,6045,21.97,98.9,0.623,16.39,17353.81786,16247.53261,10580.47,2403400,-0.5692221883766437,73.30982298663191,0,66.23166486722847,11.033802203054204,0.8327906119406165,1035.2196384517204,0.10553645988555972
240350,Espírito Santo,24001,1ª REGIAO DE SAUDE - SAO JOSE DE MIPIBU,10505,144,4,0.013707758210376012,0.027777777777777776,1,24001,São José de Mipibu ,Litoral Sul/Agreste,4,Leste Potiguar,18,Natal,3608.0,2403509,Espírito Santo,240350,2403509,135.838,10505,77.11,95.5,0.558,51.02,25044.07275,20422.97182,6739.35,2403509,-0.7300531520689857,79.69497808263131,0,73.19062122687755,9.763437407382943,0.37902289054194505,851.3934773595572,0.057225994908252524
240360,Extremoz,24007,7ª REGIAO DE SAUDE - METROPOLITANA,28583,511,31,0.017877759507399504,0.06066536203522505,7,24007,Natal,Metropolitana,1,Oeste Potiguar,2,Chapada do Apodi,3707.0,2403608,Extremoz,240360,2403608,140.639,28583,176.03,96.6,0.66,15.82,80913.26618,72936.48877,13667.37,2403608,-0.5222034829499269,67.44068661972922,0,53.40667358538721,17.139449227630287,0.9113173930327072,1593.480554575184,0.038111352784781616
240370,Felipe Guerra,24002,2ª REGIAO DE SAUDE - MOSSORO,5985,204,4,0.03408521303258145,0.0196078431372549,2,24002,Mossoró,Oeste,2,Central Potiguar,9,Angicos,3756.0,2403707,Felipe Guerra,240370,2403707,268.591,5985,21.35,99.2,0.636,15.15,26645.90369,26026.11492,12603.87,2403707,-0.5246060732012017,68.40171694458505,0,59.44912592699596,6.905141368116722,0.19607212436932286,1025.5752315036482,0.07929312464654892
240375,Fernando Pedroza,24008,8ª REGIAO DE SAUDE - ACU,3054,25,1,0.008185985592665358,0.04,8,24008,Açu,Vale do Açu,2,Central Potiguar,10,Serra de Santana,3806.0,2403756,Fernando Pedroza,240375,2403756,322.628,3054,8.85,95.3,0.597,22.22,12938.70737,12647.35247,10404.46,2403756,-0.6152242471826217,68.05119686099302,0,68.17860189581525,10.596776683053841,0.4011763440778946,935.0491897718663,0.06966933288226684
240380,Florânia,24004,4ª REGIAO DE SAUDE - CAICO,9116,89,5,0.00976305397103993,0.05617977528089888,4,24004,Caicó,Seridó,1,Oeste Potiguar,6,Pau dos Ferros,3905.0,2403806,Florânia,240380,2403806,504.797,9116,17.75,97.7,0.642,9.26,19795.24494,17382.29457,8757.2,2403806,-0.4740534311089021,66.67446852009392,0,51.63872736701896,8.502384062030195,0.44843158270750827,1422.7471908110674,0.10581401089725873
240390,Francisco Dantas,24006,6ª REGIAO DE SAUDE - PAU DOS FERROS,2824,11,0,0.003895184135977337,0.0,6,24006,Pau dos Ferros,Alto Oeste,1,Oeste Potiguar,7,Umarizal,4002.0,2403905,Francisco Dantas,240390,2403905,181.558,2824,15.83,97.8,0.606,22.22,12735.9745,12210.98781,8578.78,2403905,-0.5360449889022281,72.2971771287397,0,60.19454598278031,7.669348679164621,0.0,1095.94988513574,0.11312679776164106
240400,Frutuoso Gomes,24006,6ª REGIAO DE SAUDE - PAU DOS FERROS,4068,40,0,0.00983284169124877,0.0,6,24006,Pau dos Ferros,Alto Oeste,2,Central Potiguar,8,Macau,4101.0,2404002,Frutuoso Gomes,240400,2404002,63.279,4068,66.89,98.3,0.597,13.7,13670.01548,10285.86041,8456.35,2404002,-0.5610770379696775,73.36692562010181,0,64.19490713312774,6.8951273783553555,0.7751929399889956,910.4351788617836,0.09763564599151843
240410,Galinhos,24003,3ª REGIAO DE SAUDE - JOAO CAMARA,2786,59,0,0.021177315147164397,0.0,3,24003,João Câmara,Mato Grande/Salineira,4,Leste Potiguar,19,Litoral Sul,4200.0,2404101,Galinhos,240410,2404101,340.769,2786,6.31,99.5,0.564,58.82,12333.36163,9945.1972,25167.79,2404101,-0.7634883123177875,81.42994407390316,0,69.74415435291411,10.357934957364966,0.0,1109.4056872607214,0.0552397567487688
240420,Goianinha,24001,1ª REGIAO DE SAUDE - SAO JOSE DE MIPIBU,26328,468,7,0.017775752051048314,0.01495726495726496,1,24001,São José de Mipibu ,Litoral Sul/Agreste,1,Oeste Potiguar,2,Chapada do Apodi,4309.0,2404200,Goianinha,240420,2404200,192.279,26328,116.92,98.1,0.638,12.12,80527.00174,72612.14202,13764.41,2404200,-0.5594899397904702,71.40237733658387,0,58.88854310882162,15.573804113946776,0.5043774297228847,1552.4785591792484,0.06694391081649442
240430,Governador Dix-Sept Rosado,24002,2ª REGIAO DE SAUDE - MOSSORO,13037,140,3,0.010738666871212702,0.021428571428571432,2,24002,Mossoró,Oeste,1,Oeste Potiguar,1,Mossoró,4408.0,2404309,Governador Dix-Sept-Rosado,240430,2404309,1129.55,13037,10.96,96.7,0.592,7.3,34354.77227,33994.1407,15612.48,2404309,-0.5995905268968817,73.89476521540183,0,62.2935838989015,5.782022963605963,0.0,1036.224949195926,0.08199855300619951
240440,Grossos,24002,2ª REGIAO DE SAUDE - MOSSORO,10383,242,4,0.023307329288259654,0.016528925619834708,2,24002,Mossoró,Oeste,2,Central Potiguar,8,Macau,4507.0,2404408,Grossos,240440,2404408,124.538,10383,74.28,97.8,0.664,7.69,27197.03249,30624.34161,12704.58,2404408,-0.507127791221384,67.6313030440423,0,49.705369027864116,8.006642195760524,0.2998707287236293,1487.8086050489285,0.06879887888002045
240450,Guamaré,24003,3ª REGIAO DE SAUDE - JOAO CAMARA,15659,449,16,0.02867360623283735,0.035634743875278395,3,24003,João Câmara,Mato Grande/Salineira,3,Agreste Potiguar,15,Agreste Potiguar,4606.0,2404507,Guamaré,240450,2404507,258.307,15659,47.9,96.8,0.626,10.6,228879.08201,201420.69815,106121.53,2404507,-0.5540965912906174,72.11996247307955,0,53.473413275033046,16.222344472473658,0.4911014560560467,1542.6353942608787,0.04266966491226931
240460,Ielmo Marinho,24003,3ª REGIAO DE SAUDE - JOAO CAMARA,13766,122,3,0.008862414644776986,0.024590163934426233,3,24003,João Câmara,Mato Grande/Salineira,1,Oeste Potiguar,4,Vale do Açu,4705.0,2404606,Ielmo Marinho,240460,2404606,312.028,13766,39.01,95.8,0.55,30.3,38315.9856,39404.81135,7543.2,2404606,-0.7635872753043392,82.50592204342247,0,75.13028941524684,8.812415311022441,0.2558787921793257,796.9560238886232,0.04697853029056098
240470,Ipanguaçu,24008,8ª REGIAO DE SAUDE - ACU,15491,249,15,0.01607384933187012,0.060240963855421686,8,24008,Açu,Vale do Açu,2,Central Potiguar,11,Seridó Ocidental,4804.0,2404705,Ipanguaçu,240470,2404705,374.245,15491,37.02,97.6,0.603,13.04,33219.20692,30727.86902,8617.22,2404705,-0.6149652417140758,72.4577655862652,0,64.63943330734227,10.262793436308533,0.2875818809823958,1055.487212771998,0.06342497824381788
240480,Ipueira,24004,4ª REGIAO DE SAUDE - CAICO,2241,11,0,0.004908522980812138,0.0,4,24004,Caicó,Seridó,1,Oeste Potiguar,4,Vale do Açu,4853.0,2404804,Ipueira,240480,2404804,127.348,2241,16.31,98.1,0.679,40.0,12612.49502,11963.70255,11539.94,2404804,-0.43706127889104507,65.45885366428368,0,38.96674386856893,5.626250016530316,0.21835199497729008,1459.7132204876025,0.14254609808158847
240485,Itajá,24008,8ª REGIAO DE SAUDE - ACU,7548,195,2,0.025834658187599363,0.010256410256410256,8,24008,Açu,Vale do Açu,1,Oeste Potiguar,6,Pau dos Ferros,4903.0,2404853,Itajá,240485,2404853,203.624,7548,34.04,98.0,0.624,40.4,19364.63026,17551.44842,11127.29,2404853,-0.5916217701129687,72.7862541848614,0,57.803561506039664,11.306154258766144,0.0,1261.9137760856108,0.053599277943497725
240490,Itaú,24006,6ª REGIAO DE SAUDE - PAU DOS FERROS,5878,25,0,0.004253147329023477,0.0,6,24006,Pau dos Ferros,Alto Oeste,3,Agreste Potiguar,14,Borborema Potiguar,5009.0,2404903,Itaú,240490,2404903,133.031,5878,41.83,98.4,0.614,33.33,17130.45695,14989.51046,8111.9,2404903,-0.5436432375315584,71.14612367077108,0,63.338186748988285,8.983965485809957,0.5138877054626452,1117.404909590143,0.10070946292842464
240500,Jaçanã,24005,5ª REGIAO DE SAUDE - SANTA CRUZ,9133,193,1,0.021132158107960142,0.0051813471502590676,5,24005,Santa Cruz,Trairi/Potengi,3,Agreste Potiguar,13,Baixa Verde,5108.0,2405009,Jaçanã,240500,2405009,54.561,9133,145.25,98.6,0.604,22.22,17799.7588,15880.62513,6696.49,2405009,-0.6014020245914771,74.77138062485416,0,64.48821400913529,6.130010478636593,0.0,982.05196584849,0.0864444771678059
240510,Jandaíra,24003,3ª REGIAO DE SAUDE - JOAO CAMARA,6878,129,2,0.01875545216632742,0.015503875968992246,3,24003,João Câmara,Mato Grande/Salineira,1,Oeste Potiguar,3,Médio Oeste,5207.0,2405108,Jandaíra,240510,2405108,442.754,6878,15.6,98.3,0.569,22.73,21454.16702,20045.81335,10770.15,2405108,-0.693610928114686,78.48417440960533,0,73.43933671636104,13.447879853141966,0.17243190310129108,893.0801472239177,0.06397431058416636
