codmun,municipio,codRegiaoSaude,nomeRegiaoSaude,populacaoTCU2019,casosAcumulado,obitosAcumulado,porcentagem_casos_hab,porcentagem_obitos_casos,CIR,CodRegiao,Sede,Região de Saúde,Mesorregião Geográfica,Nome_Mesorregião,Microrregião Geográfica,Nome_Microrregião,Código Município,Código Município Completo,Municipio,CodMunIBGE,Código,Área Territorial - km²,População estimada - pessoas,Densidade demográfica - hab/km²,Escolarização 6 a 14 anos,IDHM - Índice de desenvolvimento humano municipal,Mortalidade infantil - óbitos por mil nascidos vivos,Receitas realizadas - R$ (×1000),Despesas empenhadas - R$ (×1000) [2017],PIB per capita - R$,v0002_codigo_do_municipio,GeoSES,educação,mobilidade,pobreza,privacao_material,riqueza,renda,segregacao
240750,Maxaranguape,24003,3ª REGIAO DE SAUDE - JOAO CAMARA,12371,130,2,0.010508447174844395,0.015384615384615384,3,24003,João Câmara,Mato Grande/Salineira,4,Leste Potiguar,16,Litoral Nordeste,7500.0,2407500,Maxaranguape,240750,2407500,132.129,12371,79.51,98.0,0.608,15.63,22475.12934,22378.03386,8919.17,2407500,-0.6110837222506998,74.94960636061059,0,65.28650772570793,13.679346087395787,1.6179380052655767,1239.1060227361895,0.027010932080902
240760,Messias Targino,24002,2ª REGIAO DE SAUDE - MOSSORO,4601,73,3,0.01586611606172571,0.0410958904109589,2,24002,Mossoró,Oeste,1,Oeste Potiguar,3,Médio Oeste,7609.0,2407609,Messias Targino,240760,2407609,135.091,4601,31.0,97.0,0.644,19.23,15488.08792,14009.85185,16667.83,2407609,-0.4675280914924764,68.61585404575375,0,51.99118676430786,5.391794282209585,0.9925993168400352,1489.710531665394,0.08498554652986813
240770,Montanhas,24001,1ª REGIAO DE SAUDE - SAO JOSE DE MIPIBU,11251,112,6,0.009954670695938141,0.05357142857142857,1,24001,São José de Mipibu ,Litoral Sul/Agreste,4,Leste Potiguar,19,Litoral Sul,7708.0,2407708,Montanhas,240770,2407708,82.214,11251,138.82,94.6,0.557,22.99,25765.73659,21470.17377,7700.92,2407708,-0.7092454591259256,79.15689160358484,0,71.5291602981763,7.044315673628912,0.13958241292550255,927.4776315257179,0.0834597198147744
240780,Monte Alegre,24001,1ª REGIAO DE SAUDE - SAO JOSE DE MIPIBU,22451,192,2,0.008551957596543584,0.010416666666666666,1,24001,São José de Mipibu ,Litoral Sul/Agreste,3,Agreste Potiguar,15,Agreste Potiguar,7807.0,2407807,Monte Alegre,240780,2407807,211.259,22451,98.07,98.6,0.609,17.79,54963.85744,51822.87833,9276.54,2407807,-0.6323754213334027,75.07740100272,0,66.68979240070226,11.059913720558601,0.5097619750989484,1109.4249213644148,0.06489050534116103
240790,Monte das Gameleiras,24001,1ª REGIAO DE SAUDE - SAO JOSE DE MIPIBU,2105,11,1,0.005225653206650831,0.09090909090909093,1,24001,São José de Mipibu ,Litoral Sul/Agreste,3,Agreste Potiguar,14,Borborema Potiguar,7906.0,2407906,Monte das Gameleiras,240790,2407906,71.946,2105,31.43,98.2,0.598,23.81,13699.58832,11869.08545,10082.8,2407906,-0.6177349511879571,73.41340694662517,0,64.23327843052328,5.8582127402815445,0.22189663840733687,986.0591164135208,0.06280344890389422
240800,Mossoró,24002,2ª REGIAO DE SAUDE - MOSSORO,297378,5693,193,0.019143985096409282,0.03390128227647988,2,24002,Mossoró,Oeste,1,Oeste Potiguar,1,Mossoró,8003.0,2408003,Mossoró,240800,2408003,2099.334,297378,123.76,97.7,0.72,12.69,569369.80668,519898.75003,20858.33,2408003,-0.2057105499069644,56.206813670724145,0,36.56073305513058,20.28319959059397,1.7869889483840105,2278.149565793221,0.08840657786285888
240810,Natal,24007,7ª REGIAO DE SAUDE - METROPOLITANA,884122,21267,882,0.02405437258658873,0.0414727041895895,7,24007,Natal,Metropolitana,4,Leste Potiguar,18,Natal,8102.0,2408102,Natal,240810,2408102,167.401,884122,4805.24,96.3,0.763,13.31,2168782.53689,2087214.04399,26497.08,2408102,0.06879816027368113,48.446561288001355,0,31.01946600471726,33.06510611673301,4.7216702387843945,3297.948965901766,0.10815959139881316
240820,Nísia Floresta,24001,1ª REGIAO DE SAUDE - SAO JOSE DE MIPIBU,27602,323,5,0.011702050576045214,0.015479876160990712,1,24001,São José de Mipibu ,Litoral Sul/Agreste,4,Leste Potiguar,17,Macaíba,8201.0,2408201,Nísia Floresta,240820,2408201,307.719,27602,77.26,97.6,0.622,12.53,60857.34853,56164.1539,13041.45,2408201,-0.5397571437021536,72.3389269856101,0,60.102085915737455,18.08588605128445,1.3918558673211139,1184.5692777157053,0.04965970092149341
240830,Nova Cruz,24001,1ª REGIAO DE SAUDE - SAO JOSE DE MIPIBU,37343,361,18,0.0096671397584554,0.04986149584487535,1,24001,São José de Mipibu ,Litoral Sul/Agreste,3,Agreste Potiguar,15,Agreste Potiguar,8300.0,2408300,Nova Cruz,240830,2408300,277.658,37343,127.82,98.2,0.629,8.05,66537.44004,56389.88386,12256.3,2408300,-0.5832146129335807,72.70319547745756,0,61.37114659131653,13.872779096861546,0.39410702066185793,1240.6627482099975,0.08805037231673474
240840,Olho d'Água do Borges,24006,6ª REGIAO DE SAUDE - PAU DOS FERROS,4258,26,1,0.006106153123532175,0.038461538461538464,6,24006,Pau dos Ferros,Alto Oeste,1,Oeste Potiguar,7,Umarizal,8409.0,2408409,Olho D’água dos Borges,240840,2408409,141.17,4258,30.42,98.4,0.585,27.78,15627.61392,15571.85559,7937.24,2408409,-0.5910142717250012,76.447701713714,0,62.91192837150797,6.313186970298276,0.3722381593451356,1011.5247815217543,0.10652369801113616
